local_path,proposed_unit_id,unit_title,confidence,s3_key,cloudfront_url,order,status
assets/courses/faa-107/images/Pictures for Airports/MEF.png,245,Maximum Elevation Figure (MEF),reviewed,courses/35/245/mef-1aab2cac.png,https://media.thedroneedge.com/courses/35/245/mef-1aab2cac.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/MOA Ex  Gamecock.png,334,Military Operations Areas (MOAs),reviewed,courses/35/334/moa-ex-gamecock-f85f0ae2.png,https://media.thedroneedge.com/courses/35/334/moa-ex-gamecock-f85f0ae2.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/MTR Ex.png,342,Military Training Routes (MTRs),reviewed,courses/35/342/mtr-ex-2dc51bda.png,https://media.thedroneedge.com/courses/35/342/mtr-ex-2dc51bda.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Manmade obstacles.png,244,Man-Made Obstacles on Sectional Charts,reviewed,courses/35/244/manmade-obstacles-4951e3d3.png,https://media.thedroneedge.com/courses/35/244/manmade-obstacles-4951e3d3.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/National Security Areas NSAS.png,347,National Security Areas (NSA),reviewed,courses/35/347/national-security-areas-nsas-c2ce6889.png,https://media.thedroneedge.com/courses/35/347/national-security-areas-nsas-c2ce6889.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/New Orleans Sectional Chart.png,241,Sectional Charts,reviewed,courses/35/241/new-orleans-sectional-chart-79a12b34.png,https://media.thedroneedge.com/courses/35/241/new-orleans-sectional-chart-79a12b34.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/North Little Rock on Memphis sectional.png,241,Sectional Charts,reviewed,courses/35/241/north-little-rock-on-memphis-sectional-f1add7cb.png,https://media.thedroneedge.com/courses/35/241/north-little-rock-on-memphis-sectional-f1add7cb.png,2,uploaded
assets/courses/faa-107/images/Pictures for Airports/Parachute Jumps Ex.png,344,Parachute Jump Aircraft Operations,reviewed,courses/35/344/parachute-jumps-ex-acaac286.png,https://media.thedroneedge.com/courses/35/344/parachute-jumps-ex-acaac286.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Prohibeted Area Ex.png,332,Prohibited Areas,reviewed,courses/35/332/prohibeted-area-ex-7e38f245.png,https://media.thedroneedge.com/courses/35/332/prohibeted-area-ex-7e38f245.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Reading L & L lines.png,22,Navigation: Latitude and Longitude,reviewed,courses/35/22/reading-l-l-lines-1db79f04.png,https://media.thedroneedge.com/courses/35/22/reading-l-l-lines-1db79f04.png,6,uploaded
assets/courses/faa-107/images/Pictures for Airports/Restricted Area Ex.png,331,Restricted Areas,reviewed,courses/35/331/restricted-area-ex-14e9e2bb.png,https://media.thedroneedge.com/courses/35/331/restricted-area-ex-14e9e2bb.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Sectional Aeronautical Chart.png,243,"Chart Legend, Supplement, and Airport Data",reviewed,courses/35/243/sectional-aeronautical-chart-11653c23.png,https://media.thedroneedge.com/courses/35/243/sectional-aeronautical-chart-11653c23.png,8,uploaded
assets/courses/faa-107/images/Pictures for Airports/Sectional Charts.png,241,Sectional Charts,reviewed,courses/35/241/sectional-charts-47222cb6.png,https://media.thedroneedge.com/courses/35/241/sectional-charts-47222cb6.png,3,uploaded
assets/courses/faa-107/images/Pictures for Airports/Special Use Airspace on Seatle Secional Chart.png,33,Special Use Airspace,reviewed,courses/35/33/special-use-airspace-on-seatle-secional-chart-3e05aaf0.png,https://media.thedroneedge.com/courses/35/33/special-use-airspace-on-seatle-secional-chart-3e05aaf0.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Special Use Airspace.png,33,Special Use Airspace,reviewed,courses/35/33/special-use-airspace-1eb0e738.png,https://media.thedroneedge.com/courses/35/33/special-use-airspace-1eb0e738.png,2,uploaded
assets/courses/faa-107/images/Pictures for Airports/Special Use airspace Ex 2.png,33,Special Use Airspace,reviewed,courses/35/33/special-use-airspace-ex-2-032ae330.png,https://media.thedroneedge.com/courses/35/33/special-use-airspace-ex-2-032ae330.png,3,uploaded
assets/courses/faa-107/images/Pictures for Airports/Special Use airspace Ex1.png,33,Special Use Airspace,reviewed,courses/35/33/special-use-airspace-ex1-c09ae0d5.png,https://media.thedroneedge.com/courses/35/33/special-use-airspace-ex1-c09ae0d5.png,4,uploaded
assets/courses/faa-107/images/Pictures for Airports/TFR Ex Washington DC.png,343,Temporary Flight Restrictions (TFRs),reviewed,courses/35/343/tfr-ex-washington-dc-4233dc79.png,https://media.thedroneedge.com/courses/35/343/tfr-ex-washington-dc-4233dc79.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Terminal Radar Service Areas TRSA.png,346,Terminal Radar Service Areas (TRSA),reviewed,courses/35/346/terminal-radar-service-areas-trsa-c2ad66ba.png,https://media.thedroneedge.com/courses/35/346/terminal-radar-service-areas-trsa-c2ad66ba.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Terminal chart Miami.png,242,Terminal Area Charts (TACs),reviewed,courses/35/242/terminal-chart-miami-dbd70cfb.png,https://media.thedroneedge.com/courses/35/242/terminal-chart-miami-dbd70cfb.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Testing Supplement Book.png,38,Answering Airspace and Chart Questions,reviewed,courses/35/38/testing-supplement-book-622a3402.png,https://media.thedroneedge.com/courses/35/38/testing-supplement-book-622a3402.png,2,uploaded
assets/courses/faa-107/images/Pictures for Airports/Using Aeronautical charts flag.png,24,Aeronautical Charts,reviewed,courses/35/24/using-aeronautical-charts-flag-f8a6516f.png,https://media.thedroneedge.com/courses/35/24/using-aeronautical-charts-flag-f8a6516f.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/VFR CheckPoint High Volume.png,345,Published VFR Routes,reviewed,courses/35/345/vfr-checkpoint-high-volume-6d7a0008.png,https://media.thedroneedge.com/courses/35/345/vfr-checkpoint-high-volume-6d7a0008.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/VFR Routes.png,345,Published VFR Routes,reviewed,courses/35/345/vfr-routes-96c5a361.png,https://media.thedroneedge.com/courses/35/345/vfr-routes-96c5a361.png,2,uploaded
assets/courses/faa-107/images/Pictures for Airports/Warning Area Ex.png,333,Warning Areas,reviewed,courses/35/333/warning-area-ex-bbd0f630.png,https://media.thedroneedge.com/courses/35/333/warning-area-ex-bbd0f630.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/sample L & L 1 no map.png,22,Navigation: Latitude and Longitude,reviewed,courses/35/22/sample-l-l-1-no-map-3cbd2e92.png,https://media.thedroneedge.com/courses/35/22/sample-l-l-1-no-map-3cbd2e92.png,7,uploaded
assets/courses/faa-107/images/Pictures for Airports/sample L & L 2 no map.png,22,Navigation: Latitude and Longitude,reviewed,courses/35/22/sample-l-l-2-no-map-72492307.png,https://media.thedroneedge.com/courses/35/22/sample-l-l-2-no-map-72492307.png,8,uploaded
