Event Time,Message,Log group,Log stream
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 10.0.11.240 10.0.20.96 4400 8080 6 8 554 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 92.63.197.236 10.0.11.240 57031 3389 6 1 52 1773366021 1773366050 REJECT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 165.154.174.108 10.0.11.240 42574 58603 6 1 44 1773366021 1773366050 REJECT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 85.217.149.56 10.0.11.240 56401 2473 6 1 52 1773366021 1773366050 REJECT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 10.0.20.96 10.0.11.240 8080 33394 6 6 17223 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 3.172.45.43 10.0.11.240 64594 80 6 10 2946 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 35.203.211.236 10.0.11.240 52139 9668 6 1 44 1773366021 1773366050 REJECT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 85.217.149.0 10.0.11.240 47570 2415 6 1 52 1773366021 1773366050 REJECT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 10.0.11.240 10.0.20.96 4926 8080 6 22 4994 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 10.0.11.240 3.172.45.50 80 21564 6 37 27371 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 3.172.45.50 10.0.11.240 21564 80 6 29 6612 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 10.0.20.96 10.0.11.240 8080 4926 6 21 11559 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 3.172.45.50 10.0.11.240 21568 80 6 19 4303 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 85.217.149.44 10.0.11.240 54149 598 6 1 52 1773366021 1773366050 REJECT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 10.0.11.240 10.0.20.96 17794 8080 6 8 1434 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 10.0.20.96 10.0.11.240 8080 17794 6 8 3210 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 18.119.209.50 10.0.11.240 50043 9999 6 1 52 1773366021 1773366050 REJECT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 10.0.11.240 3.172.45.50 80 21568 6 31 28592 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 3.172.45.50 10.0.11.240 21604 80 6 24 4719 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 10.0.11.240 3.172.45.50 80 21604 6 24 11668 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 147.185.133.27 10.0.11.240 53173 50100 6 1 44 1773366021 1773366050 REJECT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 10.0.11.240 10.0.20.96 4912 8080 6 19 7213 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:40:21.000Z,2 956463123464 eni-0fcd22c1bd6870034 10.0.20.96 10.0.11.240 8080 4400 6 7 4704 1773366021 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0fcd22c1bd6870034-all
2026-03-13T01:39:24.000Z,2 956463123464 eni-0ca83fa1f9fb6e6b9 - - - - - - - 1773365964 1773366047 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0ca83fa1f9fb6e6b9-all
2026-03-13T01:39:19.000Z,2 956463123464 eni-08c87cf9f092cc28e - - - - - - - 1773365959 1773366044 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-08c87cf9f092cc28e-all
2026-03-13T01:39:24.000Z,2 956463123464 eni-0c7b27ce7b83b5c8b - - - - - - - 1773365964 1773366047 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0c7b27ce7b83b5c8b-all
2026-03-13T01:39:26.000Z,2 956463123464 eni-08c87cf9f092cc28e - - - - - - - 1773365966 1773366047 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-08c87cf9f092cc28e-all
2026-03-13T01:39:19.000Z,2 956463123464 eni-0f31fa082709fb31c - - - - - - - 1773365959 1773366035 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0f31fa082709fb31c-all
2026-03-13T01:40:26.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 10.0.10.17 3.149.157.188 34234 443 6 120 84063 1773366026 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:26.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 153.66.23.83 10.0.10.17 59678 443 6 1 52 1773366026 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:26.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 162.203.160.66 10.0.10.17 40951 80 6 1 52 1773366026 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:26.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 10.0.10.17 3.149.157.188 20570 443 6 67 3484 1773366026 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:26.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 162.203.160.166 10.0.10.17 4814 443 6 1 40 1773366026 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:26.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 152.32.158.74 10.0.10.17 40061 144 6 1 44 1773366026 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:26.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 162.203.160.66 10.0.10.17 38692 443 6 1 52 1773366026 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:26.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 85.217.149.38 10.0.10.17 42248 4157 6 1 52 1773366026 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:26.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 162.203.160.66 10.0.10.17 45563 443 6 1 52 1773366026 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:26.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 10.0.20.166 10.0.10.17 51424 443 6 69 3588 1773366026 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:26.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 162.203.160.166 10.0.10.17 39752 443 6 1 40 1773366026 1773366050 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:39:17.000Z,2 956463123464 eni-01489ba17351c3015 - - - - - - - 1773365957 1773366038 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-01489ba17351c3015-all
2026-03-13T01:39:16.000Z,2 956463123464 eni-0f31fa082709fb31c - - - - - - - 1773365956 1773366037 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0f31fa082709fb31c-all
2026-03-13T01:40:08.000Z,2 956463123464 eni-01489ba17351c3015 10.0.20.77 10.0.20.44 443 57642 6 24 7611 1773366008 1773366068 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-01489ba17351c3015-all
2026-03-13T01:39:27.000Z,2 956463123464 eni-03c031432be842cc6 - - - - - - - 1773365967 1773366047 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-03c031432be842cc6-all
2026-03-13T01:39:44.000Z,2 956463123464 eni-08c87cf9f092cc28e - - - - - - - 1773365984 1773366061 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-08c87cf9f092cc28e-all
2026-03-13T01:39:17.000Z,2 956463123464 eni-02967441da61c810d - - - - - - - 1773365957 1773366035 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-02967441da61c810d-all
2026-03-13T01:39:41.000Z,2 956463123464 eni-03c031432be842cc6 - - - - - - - 1773365981 1773366061 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-03c031432be842cc6-all
2026-03-13T01:39:43.000Z,2 956463123464 eni-0c7b27ce7b83b5c8b - - - - - - - 1773365983 1773366061 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0c7b27ce7b83b5c8b-all
2026-03-13T01:39:19.000Z,2 956463123464 eni-0f31fa082709fb31c - - - - - - - 1773365959 1773366041 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0f31fa082709fb31c-all
2026-03-13T01:39:26.000Z,2 956463123464 eni-0f31fa082709fb31c - - - - - - - 1773365966 1773366044 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0f31fa082709fb31c-all
2026-03-13T01:39:33.000Z,2 956463123464 eni-0c7b27ce7b83b5c8b - - - - - - - 1773365973 1773366053 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0c7b27ce7b83b5c8b-all
2026-03-13T01:39:43.000Z,2 956463123464 eni-0ca83fa1f9fb6e6b9 - - - - - - - 1773365983 1773366061 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0ca83fa1f9fb6e6b9-all
2026-03-13T01:40:15.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 10.0.20.44 10.0.10.17 59520 443 6 108 63491 1773366015 1773366042 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:15.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 85.217.149.24 10.0.10.17 38341 30 6 1 52 1773366015 1773366042 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:15.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 162.216.150.6 10.0.10.17 54708 46688 6 1 44 1773366015 1773366042 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:15.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 85.217.149.70 10.0.10.17 45473 1524 6 1 52 1773366015 1773366042 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
